cout_operation,off_market,rendement_brut,apport_banque_taux,taux_interet,annees_emprunt,loyer_mensuel,ecart_au_loyer_moyen,cash_flow_annuel,cash_flow_annuel_apport_total_inclu,doit_payer_impot,loyer_annuel_percu,charges_annuel,taux_occupation,apport_total,ecart_prix_m2_prix_moyen_avant,ecart_prix_m2_prix_moyen_apres,prix_m2_avant,prix_m2_apres,ecart_aux_charges_copro_moyen
75711.875,True,0.12426056018293037,0.1,0.020000000000000004,20,784.0000000000001,0.6000000000000001,34.06210000000101,-834.406649999999,False,6585.600000000001,6551.5379,0.7,17369.375,-0.5,-0.3070429329474192,1036.5,1436.5,-0.3
82071.6725,False,0.11463151308388411,0.1,0.020000000000000004,20,784.0000000000001,0.6000000000000001,34.06210000000101,-1152.3965249999992,False,6585.600000000001,6551.5379,0.7,23729.1725,-0.5,-0.3070429329474192,1036.5,1436.5,-0.3
75711.875,True,0.12814370268864694,0.1,0.015,20,808.5000000000001,0.65,186.4455250000001,-682.0232249999999,False,6791.400000000001,6604.9544750000005,0.7,17369.375,-0.5,-0.3070429329474192,1036.5,1436.5,-0.3
82071.6725,False,0.11821374786775549,0.1,0.015,20,808.5000000000001,0.65,186.4455250000001,-1000.0131000000001,False,6791.400000000001,6604.9544750000005,0.7,23729.1725,-0.5,-0.3070429329474192,1036.5,1436.5,-0.3
75711.875,True,0.12814370268864694,0.1,0.015,20,808.5000000000001,0.65,131.4455250000001,-737.0232249999999,False,6791.400000000001,6659.9544750000005,0.7,17369.375,-0.5,-0.3070429329474192,1036.5,1436.5,-0.25
82071.6725,False,0.11821374786775549,0.1,0.015,20,808.5000000000001,0.65,131.4455250000001,-1055.0131000000001,False,6791.400000000001,6659.9544750000005,0.7,23729.1725,-0.5,-0.3070429329474192,1036.5,1436.5,-0.25
75711.875,True,0.12814370268864694,0.1,0.015,20,808.5000000000001,0.65,76.44552500000009,-792.0232249999999,False,6791.400000000001,6714.9544750000005,0.7,17369.375,-0.5,-0.3070429329474192,1036.5,1436.5,-0.2
82071.6725,False,0.11821374786775549,0.1,0.015,20,808.5000000000001,0.65,76.44552500000009,-1110.0131000000001,False,6791.400000000001,6714.9544750000005,0.7,23729.1725,-0.5,-0.3070429329474192,1036.5,1436.5,-0.2
75711.875,True,0.12814370268864694,0.1,0.015,20,808.5000000000001,0.65,21.44552500000009,-847.0232249999999,False,6791.400000000001,6769.9544750000005,0.7,17369.375,-0.5,-0.3070429329474192,1036.5,1436.5,-0.15000000000000002
82071.6725,False,0.11821374786775549,0.1,0.015,20,808.5000000000001,0.65,21.44552500000009,-1165.0131000000001,False,6791.400000000001,6769.9544750000005,0.7,23729.1725,-0.5,-0.3070429329474192,1036.5,1436.5,-0.15000000000000002
75711.875,True,0.12814370268864694,0.1,0.016,20,808.5000000000001,0.65,183.52840000000015,-684.9403499999999,False,6791.400000000001,6607.8716,0.7,17369.375,-0.5,-0.3070429329474192,1036.5,1436.5,-0.3
82071.6725,False,0.11821374786775549,0.1,0.016,20,808.5000000000001,0.65,183.52840000000015,-1002.9302250000001,False,6791.400000000001,6607.8716,0.7,23729.1725,-0.5,-0.3070429329474192,1036.5,1436.5,-0.3
75711.875,True,0.12814370268864694,0.1,0.016,20,808.5000000000001,0.65,128.52840000000015,-739.9403499999999,False,6791.400000000001,6662.8716,0.7,17369.375,-0.5,-0.3070429329474192,1036.5,1436.5,-0.25
82071.6725,False,0.11821374786775549,0.1,0.016,20,808.5000000000001,0.65,128.52840000000015,-1057.930225,False,6791.400000000001,6662.8716,0.7,23729.1725,-0.5,-0.3070429329474192,1036.5,1436.5,-0.25
75711.875,True,0.12814370268864694,0.1,0.016,20,808.5000000000001,0.65,73.52840000000015,-794.9403499999999,False,6791.400000000001,6717.8716,0.7,17369.375,-0.5,-0.3070429329474192,1036.5,1436.5,-0.2
82071.6725,False,0.11821374786775549,0.1,0.016,20,808.5000000000001,0.65,73.52840000000015,-1112.930225,False,6791.400000000001,6717.8716,0.7,23729.1725,-0.5,-0.3070429329474192,1036.5,1436.5,-0.2
75711.875,True,0.12814370268864694,0.1,0.016,20,808.5000000000001,0.65,18.528400000000147,-849.9403499999999,False,6791.400000000001,6772.8716,0.7,17369.375,-0.5,-0.3070429329474192,1036.5,1436.5,-0.15000000000000002
82071.6725,False,0.11821374786775549,0.1,0.016,20,808.5000000000001,0.65,18.528400000000147,-1167.930225,False,6791.400000000001,6772.8716,0.7,23729.1725,-0.5,-0.3070429329474192,1036.5,1436.5,-0.15000000000000002
75711.875,True,0.12814370268864694,0.1,0.017,20,808.5000000000001,0.65,180.6112750000002,-687.8574749999998,False,6791.400000000001,6610.788725,0.7,17369.375,-0.5,-0.3070429329474192,1036.5,1436.5,-0.3
82071.6725,False,0.11821374786775549,0.1,0.017,20,808.5000000000001,0.65,180.6112750000002,-1005.84735,False,6791.400000000001,6610.788725,0.7,23729.1725,-0.5,-0.3070429329474192,1036.5,1436.5,-0.3
75711.875,True,0.12814370268864694,0.1,0.017,20,808.5000000000001,0.65,125.6112750000002,-742.8574749999998,False,6791.400000000001,6665.788725,0.7,17369.375,-0.5,-0.3070429329474192,1036.5,1436.5,-0.25
82071.6725,False,0.11821374786775549,0.1,0.017,20,808.5000000000001,0.65,125.6112750000002,-1060.84735,False,6791.400000000001,6665.788725,0.7,23729.1725,-0.5,-0.3070429329474192,1036.5,1436.5,-0.25
75711.875,True,0.12814370268864694,0.1,0.017,20,808.5000000000001,0.65,70.6112750000002,-797.8574749999998,False,6791.400000000001,6720.788725,0.7,17369.375,-0.5,-0.3070429329474192,1036.5,1436.5,-0.2
82071.6725,False,0.11821374786775549,0.1,0.017,20,808.5000000000001,0.65,70.6112750000002,-1115.84735,False,6791.400000000001,6720.788725,0.7,23729.1725,-0.5,-0.3070429329474192,1036.5,1436.5,-0.2
