rendement,apport_perc,loyer_mensuel,cash_flow_annuel,doit_payer_impot,revenus_annuel,couts_annuel,taux_occupation,cash_a_sortir
0.07,0.1,730.7244000000001,416.57277239999894,False,8768.6928,8352.120027600002,0.75,37422.72
0.035,0.1,243.5748,-5977.9744092,False,2922.8976000000002,8900.8720092,0.5,37422.72
0.035,0.1,243.5748,-4416.4384092,False,2922.8976000000002,7339.3360092,0.5,37422.72
0.045,0.1,313.1676,-5287.5442404,False,3758.0112,9045.5554404,0.5,37422.72
0.045,0.1,313.1676,-3726.0082404000004,False,3758.0112,7484.0194404,0.5,37422.72
0.05,0.1,347.964,-4942.329156000001,False,4175.568,9117.897156,0.5,37422.72
0.05,0.1,347.964,-3380.7931559999997,False,4175.568,7556.361156,0.5,37422.72
0.055,0.1,382.76040000000006,-4597.1140716,False,4593.1248000000005,9190.2388716,0.5,37422.72
0.055,0.1,382.76040000000006,-3035.5780716,False,4593.1248000000005,7628.7028716,0.5,37422.72
0.06,0.1,417.5568,-4251.8989872,False,5010.6816,9262.5805872,0.5,37422.72
0.06,0.1,417.5568,-2690.3629872,False,5010.6816,7701.0445872,0.5,37422.72
0.065,0.1,452.3532,-3906.6839028000013,False,5428.2384,9334.922302800001,0.5,37422.72
0.065,0.1,452.3532,-2345.1479028000003,False,5428.2384,7773.3863028000005,0.5,37422.72
0.07,0.1,487.1496,-3561.4688184000006,False,5845.7952000000005,9407.264018400001,0.5,37422.72
0.07,0.1,487.1496,-1999.9328183999996,False,5845.7952000000005,7845.7280184,0.5,37422.72
0.035,0.15,487.1496,-3555.7088183999986,False,5845.7952000000005,9401.504018399999,1.0,44622.72
0.035,0.15,487.1496,-1995.3248183999985,False,5845.7952000000005,7841.120018399999,1.0,44622.72
0.045,0.15,626.3352,-2174.848480800001,False,7516.0224,9690.870880800001,1.0,44622.72
0.045,0.15,626.3352,-614.4644807999994,False,7516.0224,8130.486880799999,1.0,44622.72
0.05,0.15,695.928,-1484.4183119999998,False,8351.136,9835.554312,1.0,44622.72
0.05,0.15,695.928,75.96568800000205,False,8351.136,8275.170311999998,1.0,44622.72
0.055,0.15,765.5208000000001,-793.9881431999984,False,9186.249600000001,9980.2377432,1.0,44622.72
